Initial Velocity,Extension Lookup Table
48.0,"[[0.0, 113.7187056420338], [0.1, 112.76575067523243], [0.2, 111.53472913530777], [0.3, 111.17243449172156], [0.4, 111.35179163835829], [0.5, 110.69106097535581], [0.6, 112.20219727503746], [0.7, 110.89225475680178], [0.8, 110.99237546290425], [0.9, 109.7231235690669], [1.0, 110.92137794754854]]"
47.0,"[[0.0, 107.74216734926614], [0.1, 108.8878707316805], [0.2, 107.53770991283744], [0.3, 108.96959263893626], [0.4, 108.49475963528437], [0.5, 106.70700144180381], [0.6, 107.02933497956633], [0.7, 106.87473186309808], [0.8, 107.30924855495846], [0.9, 106.10645223801481], [1.0, 106.12062810441535]]"
46.0,"[[0.0, 103.35906974623538], [0.1, 104.97370417083204], [0.2, 103.1617226207901], [0.3, 102.57149116858784], [0.4, 103.1948248053614], [0.5, 101.61931812574488], [0.6, 103.1246275630159], [0.7, 101.1769432518264], [0.8, 100.88492441388092], [0.9, 101.80113130856529], [1.0, 102.60738939429831]]"
45.0,"[[0.0, 99.0083127654587], [0.1, 99.79835404368384], [0.2, 100.72334670148831], [0.3, 99.66790160446607], [0.4, 99.08718788701117], [0.5, 98.84137254510432], [0.6, 97.06099104324045], [0.7, 97.46781820322735], [0.8, 97.15108825422305], [0.9, 96.91028711339396], [1.0, 96.38096137295969]]"
44.0,"[[0.0, 96.27535726832377], [0.1, 94.86451094601364], [0.2, 95.80620018722539], [0.3, 93.98902292421155], [0.4, 94.26791175110179], [0.5, 94.85368867779289], [0.6, 93.36716666370535], [0.7, 95.24244940095582], [0.8, 93.96483903777141], [0.9, 93.43919631510698], [1.0, 94.10952948803913]]"
43.0,"[[0.0, 92.02709839135139], [0.1, 90.81024236056498], [0.2, 90.88610470529397], [0.3, 91.03460644176278], [0.4, 91.10871100000486], [0.5, 90.32755901226574], [0.6, 89.42392005767988], [0.7, 89.40719609840755], [0.8, 90.19016127519876], [0.9, 89.96965862370291], [1.0, 88.8580878034669]]"
42.0,"[[0.0, 87.34949124179832], [0.1, 87.73027437253961], [0.2, 88.63179151248448], [0.3, 86.48602291971883], [0.4, 87.24461902259691], [0.5, 86.3140896141266], [0.6, 86.70545007804367], [0.7, 86.43849374453805], [0.8, 85.92481478054503], [0.9, 85.13845970877128], [1.0, 85.4533909182777]]"
41.0,"[[0.0, 83.07655570545455], [0.1, 82.68418057232373], [0.2, 82.37727714288678], [0.3, 81.27006551304532], [0.4, 82.47221471216483], [0.5, 82.61411500896236], [0.6, 82.58466470725159], [0.7, 82.6629733569215], [0.8, 81.10524859342456], [0.9, 81.98257901915326], [1.0, 80.57452584207351]]"
40.0,"[[0.0, 79.34069480471203], [0.1, 79.64534201827234], [0.2, 80.22714100795451], [0.3, 78.43895011829284], [0.4, 79.79802624736271], [0.5, 79.43660904070543], [0.6, 78.44306097103026], [0.7, 77.77544620768253], [0.8, 77.39418806588867], [0.9, 77.53973903201802], [1.0, 77.79465306657778]]"
39.0,"[[0.0, 76.17984509818575], [0.1, 76.0579388876954], [0.2, 74.6998103835241], [0.3, 75.03907864560176], [0.4, 76.56499435383728], [0.5, 76.6679230104395], [0.6, 75.13936315841522], [0.7, 75.2611223624748], [0.8, 74.7441826216949], [0.9, 73.63018927690405], [1.0, 73.50866731029919]]"
